iteration,best_fitness,coverage
366.0,2.0,0.33999999999999997
367.0,2.0,0.33999999999999997
368.0,2.0,0.33999999999999997
369.0,2.0,0.33999999999999997
370.0,2.0,0.33999999999999997
371.0,2.0,0.3425
372.0,2.0,0.3425
373.0,2.0,0.3425
374.0,2.0,0.3425
375.0,2.0,0.3425
376.0,2.0,0.3425
377.0,2.0,0.3425
378.0,2.0,0.3425
379.0,2.0,0.3425
380.0,2.0,0.3425
381.0,2.0,0.3425
382.0,2.0,0.3425
383.0,2.0,0.345
384.0,2.0,0.345
385.0,2.0,0.345
386.0,2.0,0.345
387.0,2.0,0.345
388.0,2.0,0.345
389.0,2.0,0.345
390.0,2.0,0.345
391.0,2.0,0.345
392.0,2.0,0.345
393.0,2.0,0.345
394.0,2.0,0.345
395.0,2.0,0.345
396.0,2.0,0.345
397.0,2.0,0.34750000000000003
398.0,2.0,0.34750000000000003
399.0,2.0,0.34750000000000003
400.0,2.0,0.34750000000000003
401.0,2.0,0.34750000000000003
402.0,2.0,0.34750000000000003
403.0,2.0,0.34750000000000003
404.0,2.0,0.35
405.0,2.0,0.35250000000000004
406.0,2.0,0.35250000000000004
407.0,2.0,0.35250000000000004
408.0,2.0,0.35250000000000004
409.0,2.0,0.35250000000000004
410.0,2.0,0.35250000000000004
411.0,2.0,0.35250000000000004
412.0,2.0,0.35250000000000004
413.0,2.0,0.35250000000000004
414.0,2.0,0.355
415.0,2.0,0.355
416.0,2.0,0.355
417.0,2.0,0.355
418.0,2.0,0.355
419.0,2.0,0.355
420.0,2.0,0.35750000000000004
421.0,2.0,0.35750000000000004
422.0,2.0,0.35750000000000004
423.0,2.0,0.35750000000000004
424.0,2.0,0.35750000000000004
425.0,2.0,0.35750000000000004
426.0,2.0,0.35750000000000004
427.0,2.0,0.35750000000000004
428.0,2.0,0.35750000000000004
429.0,2.0,0.35750000000000004
430.0,2.0,0.35750000000000004
431.0,2.0,0.35750000000000004
432.0,2.0,0.35750000000000004
433.0,2.0,0.35750000000000004
434.0,2.0,0.35750000000000004
435.0,2.0,0.35750000000000004
436.0,2.0,0.35750000000000004
437.0,2.0,0.36
